Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,08/01/20,9.13,6.02,3.23,0.95,0.52,0.88,0.6,1.05,1.55,1.33,1.4,1.18,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.32,98.72,118.1
month,Student,Active,07/01/20,4.18,1.42,2.32,1.53,1.85,0.72,0.87,0.8,0.77,2.3,0.72,1.65,2.02,2.77,0.55,0.0,0.0,0.0,0.0,0.0,0.0,24.45,83.22,176.9
month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,03/01/20,7.45,2.42,0.82,0.55,0.62,0.6,0.5,0.73,1.3,1.47,2.73,2.68,3.12,3.58,3.28,2.12,0.2,0.0,0.0,0.0,0.0,34.17,49.62,298.82
month,Student,Active,02/01/20,5.72,3.22,0.43,0.68,0.68,1.05,1.4,2.1,3.75,3.72,5.03,6.03,8.53,9.57,8.95,6.7,0.18,0.0,0.0,0.0,0.0,67.75,104.98,740.62
month,Student,Active,01/01/20,3.33,1.2,1.1,0.77,0.82,1.28,1.23,1.48,2.58,2.9,3.6,4.1,7.27,8.88,5.82,2.38,0.0,0.0,0.0,0.0,0.0,48.75,104.07,529.65
month,Student,Active,12/01/19,0.57,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,23.38,0.73
month,Student,Active,11/01/19,8.32,1.27,1.32,1.83,0.65,0.42,0.38,0.32,0.45,0.38,0.3,0.2,0.33,0.18,0.17,0.2,0.0,0.0,0.0,0.0,0.0,16.72,29.6,59.28
month,Student,Active,10/01/19,5.73,9.6,9.6,2.43,1.48,2.07,2.0,2.17,2.0,1.45,1.4,1.15,1.48,3.87,3.18,3.4,1.3,0.0,0.0,0.0,0.0,54.32,136.3,373.98
month,Student,Active,09/01/19,4.02,1.98,2.5,3.52,1.75,0.92,1.13,0.62,1.38,0.85,0.85,0.72,1.77,1.82,3.68,4.62,0.0,0.0,0.0,0.0,0.0,32.12,97.1,273.08
month,Student,Active,08/01/19,5.07,4.95,4.47,2.78,2.48,2.97,4.03,2.97,1.57,1.87,2.0,2.48,2.57,5.07,4.75,7.93,1.53,0.0,0.0,0.0,0.0,59.48,133.27,534.8
month,Student,Active,07/01/19,6.13,2.73,0.4,0.58,0.83,1.12,0.57,1.48,1.15,0.47,1.65,0.68,0.95,1.93,1.37,1.02,0.0,0.0,0.0,0.0,0.0,23.07,69.62,159.38
month,Student,Active,06/01/19,0.4,1.95,0.6,0.33,1.07,1.13,0.1,0.18,0.25,0.67,0.58,0.25,0.52,1.43,0.55,0.0,0.0,0.0,0.0,0.0,0.0,10.02,38.97,75.1
month,Student,Active,05/01/19,0.93,2.12,2.58,0.85,0.8,0.97,0.68,0.78,0.52,0.38,0.88,0.77,0.77,0.5,1.32,1.12,0.0,0.0,0.0,0.0,0.0,15.97,84.33,119.15
month,Student,Active,04/01/19,1.03,0.97,2.22,1.37,1.05,0.52,0.5,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,52.18,34.27
month,Student,Active,03/01/19,4.38,2.97,4.32,2.68,3.78,1.75,1.08,1.5,0.82,0.88,1.58,2.25,0.83,0.53,0.88,3.17,2.2,0.0,0.0,0.0,0.0,35.62,116.42,263.22
month,Student,All,08/01/20,9.95,5.52,4.12,0.98,0.47,0.8,0.65,0.88,1.8,1.33,1.4,1.18,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.55,98.72,121.22
month,Student,All,07/01/20,4.43,3.83,2.32,1.53,1.85,0.7,0.88,0.8,0.77,2.3,0.72,1.63,2.02,2.78,0.55,0.0,0.0,0.0,0.0,0.0,0.0,27.12,83.22,182.03
month,Student,All,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,03/01/20,7.4,1.15,2.47,0.78,2.25,0.52,0.38,0.47,1.4,1.27,2.53,2.52,2.65,3.5,3.72,2.97,0.47,0.0,0.0,0.0,0.0,36.43,49.62,318.93
