Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,08/01/20,4.32,0.27,1.55,0.2,0.15,1.8,0.5,0.98,1.73,1.23,0.23,1.73,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.45,92.33,94.27
month,Student,Active,07/01/20,5.13,1.48,1.65,0.22,0.62,0.97,1.77,2.68,1.55,2.65,3.62,4.05,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.22,93.83,209.3
month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,03/01/20,9.78,5.0,1.85,2.05,2.02,1.63,3.4,2.98,2.97,5.13,4.95,3.53,0.8,0.57,0.53,0.0,0.0,0.0,0.0,0.0,0.0,47.2,108.5,302.3
month,Student,Active,02/01/20,18.85,6.27,4.63,3.77,2.05,2.32,4.08,3.35,3.72,6.37,7.07,4.28,4.43,3.43,0.48,0.08,0.0,0.0,0.0,0.0,0.0,75.18,177.77,480.42
month,Student,Active,01/01/20,7.08,2.57,1.77,1.52,1.5,1.57,2.45,2.25,5.0,1.97,2.0,2.97,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.72,179.1,211.98
month,Student,Active,12/01/19,2.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,84.78,5.87
month,Student,Active,11/01/19,3.1,3.08,4.87,2.23,2.78,2.87,1.42,2.23,1.02,0.67,3.4,2.63,1.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,140.83,193.52
