Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,08/01/20,2.28,1.18,2.37,0.8,0.55,1.05,0.87,1.38,2.03,1.4,1.57,1.33,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.72,38.85,118.47
month,Student,Active,07/01/20,2.17,2.33,0.92,1.47,0.9,0.53,0.63,0.42,0.55,0.62,0.33,0.17,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,93.88,48.57
month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,03/01/20,7.08,0.92,0.45,0.57,0.25,0.45,0.38,0.4,0.68,1.0,0.97,1.22,1.47,2.58,4.53,5.92,0.0,0.0,0.0,0.0,0.0,28.87,66.5,281.65
month,Student,Active,02/01/20,22.07,7.52,3.85,3.35,1.08,1.5,1.25,0.7,1.3,1.78,1.6,0.38,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.45,143.55,143.42
month,Student,Active,01/01/20,29.4,12.92,5.78,3.97,2.65,2.55,2.72,2.35,2.3,1.68,2.13,1.97,1.45,0.8,0.27,0.13,0.0,0.0,0.0,0.0,0.0,73.07,176.43,275.6
month,Student,Active,12/01/19,15.12,3.0,0.42,0.97,0.65,1.02,1.5,1.62,2.07,2.03,1.62,1.77,0.95,0.38,0.15,0.02,0.0,0.0,0.0,0.0,0.0,33.27,90.12,157.17
month,Student,Active,11/01/19,14.73,2.78,1.92,4.57,2.03,2.58,2.67,2.8,3.43,4.38,2.35,4.33,9.75,7.48,5.17,0.28,0.05,0.0,0.0,0.0,0.0,71.32,136.07,578.03
